"bu_code","identificatie","oppervlakteverblijfsobject","gebruiksdoelverblijfsobject"
"BU05050102","0505010000000236","35","woonfunctie"
"BU05050102","0505010000000237","35","woonfunctie"
"BU05050102","0505010000000238","35","woonfunctie"
"BU05050102","0505010000000239","34","woonfunctie"
"BU05050102","0505010000000240","34","woonfunctie"
"BU05050102","0505010000000241","34","woonfunctie"
"BU05050102","0505010000000242","40","woonfunctie"
"BU05050102","0505010000000243","35","woonfunctie"
"BU05050102","0505010000000244","35","woonfunctie"
"BU05050102","0505010000000245","35","woonfunctie"
"BU05050102","0505010000000246","35","woonfunctie"
"BU05050102","0505010000000247","34","woonfunctie"
"BU05050102","0505010000000248","34","woonfunctie"
"BU05050102","0505010000000249","34","woonfunctie"
"BU05050102","0505010000000250","40","woonfunctie"
"BU05050102","0505010000000251","35","woonfunctie"
"BU05050102","0505010000000252","35","woonfunctie"
"BU05050102","0505010000000253","35","woonfunctie"
"BU05050102","0505010000000254","35","woonfunctie"
"BU05050102","0505010000000255","34","woonfunctie"
"BU05050102","0505010000000256","34","woonfunctie"
"BU05050102","0505010000000257","34","woonfunctie"
"BU05050102","0505010000000258","40","woonfunctie"
"BU05050102","0505010000000259","35","woonfunctie"
"BU05050102","0505010000000260","35","woonfunctie"
"BU05050102","0505010000000261","35","woonfunctie"
"BU05050102","0505010000000262","35","woonfunctie"
"BU05051007","0505010000000267","220","woonfunctie"
"BU05051007","0505010000000271","122","woonfunctie"
"BU05051007","0505010000000272","223","woonfunctie"
"BU05051007","0505010000000275","122","woonfunctie"
"BU05051007","0505010000000276","202","woonfunctie"
"BU05051007","0505010000000279","123","woonfunctie"
"BU05051007","0505010000000280","191","woonfunctie"
"BU05051007","0505010000000283","145","woonfunctie"
"BU05051007","0505010000000284","210","woonfunctie"
"BU05051007","0505010000000287","119","woonfunctie"
"BU05051007","0505010000000288","18","overige gebruiksfunctie"
"BU05051007","0505010000000289","197","woonfunctie"
"BU05051007","0505010000000292","122","woonfunctie"
"BU05051007","0505010000000293","213","woonfunctie"
"BU05051007","0505010000000296","126","woonfunctie"
"BU05051007","0505010000000297","18","overige gebruiksfunctie"
"BU05051007","0505010000000298","213","woonfunctie"
"BU05051007","0505010000000301","119","woonfunctie"
"BU05051007","0505010000000302","18","overige gebruiksfunctie"
"BU05051007","0505010000000303","213","woonfunctie"
"BU05051007","0505010000000306","116","woonfunctie"
"BU05051007","0505010000000307","18","overige gebruiksfunctie"
"BU05051007","0505010000000308","208","woonfunctie"
"BU05051007","0505010000000311","116","woonfunctie"
"BU05051007","0505010000000312","18","overige gebruiksfunctie"
"BU05051007","0505010000000313","197","woonfunctie"
"BU05051007","0505010000000317","139","woonfunctie"
"BU05051007","0505010000000318","197","woonfunctie"
"BU05051007","0505010000000320","126","woonfunctie"
"BU05051007","0505010000000321","228","woonfunctie"
"BU05051007","0505010000000323","140","woonfunctie"
"BU05051007","0505010000000324","215","woonfunctie"
"BU05051007","0505010000000326","137","woonfunctie"
"BU05051007","0505010000000327","229","woonfunctie"
"BU05051007","0505010000000329","137","woonfunctie"
"BU05051007","0505010000000330","203","woonfunctie"
"BU05051007","0505010000000332","122","woonfunctie"
"BU05051007","0505010000000333","18","overige gebruiksfunctie"
"BU05051007","0505010000000334","203","woonfunctie"
"BU05051007","0505010000000335","116","woonfunctie"
"BU05051007","0505010000000336","18","overige gebruiksfunctie"
"BU05051007","0505010000000337","197","woonfunctie"
"BU05051007","0505010000000338","119","woonfunctie"
"BU05051007","0505010000000339","18","overige gebruiksfunctie"
"BU05051007","0505010000000340","214","woonfunctie"
"BU05051007","0505010000000342","116","woonfunctie"
"BU05051007","0505010000000343","18","overige gebruiksfunctie"
"BU05051007","0505010000000344","230","woonfunctie"
"BU05051007","0505010000000347","119","woonfunctie"
"BU05051007","0505010000000348","18","overige gebruiksfunctie"
"BU05051007","0505010000000349","214","woonfunctie"
"BU05051007","0505010000000352","122","woonfunctie"
"BU05051007","0505010000000353","18","overige gebruiksfunctie"
"BU05051007","0505010000000354","209","woonfunctie"
"BU05051007","0505010000000357","122","woonfunctie"
"BU05051007","0505010000000358","232","woonfunctie"
"BU05051007","0505010000000361","116","woonfunctie"
"BU05051007","0505010000000362","197","woonfunctie"
"BU05051007","0505010000000364","116","woonfunctie"
"BU05051007","0505010000000365","215","woonfunctie"
"BU05051007","0505010000000367","116","woonfunctie"
"BU05051007","0505010000000368","197","woonfunctie"
"BU05051007","0505010000000370","122","woonfunctie"
"BU05051007","0505010000000371","226","woonfunctie"
"BU05051007","0505010000000373","116","woonfunctie"
"BU05051007","0505010000000374","201","woonfunctie"
"BU05051007","0505010000000377","120","woonfunctie"
"BU05051007","0505010000000378","214","woonfunctie"
"BU05051007","0505010000000381","119","woonfunctie"
"BU05051007","0505010000000382","214","woonfunctie"
"BU05051007","0505010000000384","120","woonfunctie"
"BU05051007","0505010000000385","209","woonfunctie"
"BU05051007","0505010000000387","120","woonfunctie"
"BU05051007","0505010000000388","215","woonfunctie"
"BU05051007","0505010000000391","124","woonfunctie"
"BU05051007","0505010000000392","209","woonfunctie"
"BU05051007","0505010000000395","119","woonfunctie"
"BU05051007","0505010000000396","209","woonfunctie"
"BU05051007","0505010000000398","128","woonfunctie"
"BU05051007","0505010000000399","226","woonfunctie"
"BU05051007","0505010000000402","116","woonfunctie"
"BU05051007","0505010000000403","217","woonfunctie"
"BU05051007","0505010000000406","122","woonfunctie"
"BU05051007","0505010000000407","209","woonfunctie"
"BU05051007","0505010000000410","126","woonfunctie"
"BU05051007","0505010000000411","209","woonfunctie"
"BU05051007","0505010000000414","122","woonfunctie"
"BU05051007","0505010000000415","197","woonfunctie"
"BU05051007","0505010000000417","119","woonfunctie"
"BU05051007","0505010000000418","197","woonfunctie"
"BU05051007","0505010000000421","116","woonfunctie"
"BU05051007","0505010000000422","227","woonfunctie"
"BU05051007","0505010000000426","116","woonfunctie"
"BU05051007","0505010000000427","18","overige gebruiksfunctie"
"BU05051007","0505010000000428","209","woonfunctie"
"BU05051007","0505010000000430","119","woonfunctie"
"BU05051007","0505010000000431","18","overige gebruiksfunctie"
"BU05051007","0505010000000432","212","woonfunctie"
"BU05051007","0505010000000435","125","woonfunctie"
"BU05051007","0505010000000436","18","overige gebruiksfunctie"
