"Leeftijd referentiepersoon";"Perioden";"Regio's";"Particuliere huishoudens: samenstelling/Totaal particuliere huishoudens (aantal)";"Particuliere huishoudens: samenstelling/Eenpersoonshuishouden (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Totaal meerpersoonshuishoudens (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Niet-gehuwd paar/Totaal niet-gehuwde paren (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Gehuwd paar/Totaal gehuwde paren (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Eenouderhuishouden/Totaal eenouderhuishoudens (aantal)";"Particuliere huishoudens: grootte/Meerpersoonshuishouden/2 personen (aantal)";"Particuliere huishoudens: grootte/Meerpersoonshuishouden/3 personen (aantal)";"Particuliere huishoudens: grootte/Meerpersoonshuishouden/4 personen (aantal)";"Particuliere huishoudens: grootte/Meerpersoonshuishouden/5 of meer personen (aantal)"
"Totaal";"2020";"Deurne";13764;4145;9619;1808;6920;844;5181;1554;1996;888
"Totaal";"2020";"Deventer";46648;18296;28352;6486;18118;3558;15077;5272;5867;2136
"Totaal";"2020";"Didam";;;;;;;;;;
"Totaal";"2020";"Diemen";15640;7456;8184;2174;4590;1294;4307;1783;1555;539
"Totaal";"2020";"Diepenheim";;;;;;;;;;
"Totaal";"2020";"Dinkelland";10361;2704;7657;1300;5809;501;3654;1299;1742;962
"Totaal";"2020";"Dinxperlo";;;;;;;;;;
"Totaal";"2020";"Dirksland";;;;;;;;;;
"Totaal";"2020";"Dodewaard";;;;;;;;;;
"Totaal";"2020";"Doesburg";5223;1878;3345;534;2375;418;1952;627;565;201
"Totaal";"2020";"Doetinchem";25891;9077;16814;3562;11337;1819;9038;3073;3486;1217
"Totaal";"2020";"Dongen";11164;3240;7924;1445;5673;763;4174;1513;1678;559
"Totaal";"2020";"Dongeradeel";;;;;;;;;;
"Totaal";"2020";"Doorn";;;;;;;;;;
"Totaal";"2020";"Dordrecht";55014;21641;33373;6214;22099;4777;17456;6951;6295;2671
"Totaal";"2020";"Drechterland";8201;2286;5915;1120;4257;514;3078;1028;1197;612
"Totaal";"2020";"Driebergen-Rijsenburg";;;;;;;;;;
"Totaal";"2020";"Drimmelen";11633;3272;8361;1590;6075;662;4523;1592;1698;548
"Totaal";"2020";"Dronten";17532;5323;12209;2064;8912;1167;6355;2323;2441;1090
"Totaal";"2020";"Druten";7880;2214;5666;1166;3904;566;2944;1082;1209;431
"Totaal";"2020";"Duiven";10664;2969;7695;1331;5556;783;3963;1527;1682;523
"Totaal";"2020";"Echt";;;;;;;;;;
"Totaal";"2020";"Echteld";;;;;;;;;;
"Totaal";"2020";"Echt-Susteren";14195;4480;9715;1926;6820;925;5633;1946;1692;444
"Totaal";"2020";"Edam-Volendam";14854;4189;10665;1769;7987;869;5142;1842;2739;942
"Totaal";"2020";"Ede";49444;16993;32451;4850;24655;2700;16189;5867;6141;4254
"Totaal";"2020";"Eemnes";3958;1219;2739;545;1875;308;1385;519;603;232
"Totaal";"2020";"Eemsmond";;;;;;;;;;
"Totaal";"2020";"Eersel";8118;2383;5735;1063;4234;418;3116;900;1198;521
"Totaal";"2020";"Egmond";;;;;;;;;;
"Totaal";"2020";"Eibergen";;;;;;;;;;
"Totaal";"2020";"Eijsden";;;;;;;;;;
"Totaal";"2020";"Eijsden-Margraten";11078;2963;8115;1411;6074;587;4522;1568;1575;450
"Totaal";"2020";"Eindhoven";120980;58471;62509;16808;36588;8365;35019;12012;11379;4099
"Totaal";"2020";"Elburg";9128;2471;6657;723;5413;491;3210;1182;1375;890
"Totaal";"2020";"Elst";;;;;;;;;;
"Totaal";"2020";"Emmen";48631;16900;31731;6189;21610;3746;17609;6035;6047;2040
"Totaal";"2020";"Enkhuizen";8622;3248;5374;1017;3648;686;2980;990;1026;378
"Totaal";"2020";"Enschede";79459;36748;42711;10237;26117;5864;23239;8213;8222;3037
"Totaal";"2020";"Epe";14212;4334;9878;1489;7544;802;5403;1671;1924;880
"Totaal";"2020";"Ermelo";11291;3840;7451;968;5814;645;3944;1259;1399;849
"Totaal";"2020";"Etten-Leur";18881;5722;13159;2519;9157;1417;6824;2578;2802;955
"Totaal";"2020";"Ferwerderadiel";;;;;;;;;;
"Totaal";"2020";"Franekeradeel";;;;;;;;;;
"Totaal";"2020";"De Friese Meren";;;;;;;;;;
"Totaal";"2020";"De Fryske Marren";22230;6979;15251;3011;10919;1252;8238;2573;2955;1485
"Totaal";"2020";"Gaasterlân-Sleat";;;;;;;;;;
"Totaal";"2020";"Geertruidenberg";9385;2835;6550;1268;4557;699;3501;1317;1341;391
"Totaal";"2020";"Geldermalsen";;;;;;;;;;
"Totaal";"2020";"Geldrop";;;;;;;;;;
"Totaal";"2020";"Geldrop-Mierlo";17747;5852;11895;2304;8231;1307;6417;2224;2426;828
"Totaal";"2020";"Geleen";;;;;;;;;;
"Totaal";"2020";"Gemert-Bakel";13056;3885;9171;1898;6399;829;4737;1596;2007;831
"Totaal";"2020";"Gendringen";;;;;;;;;;
"Totaal";"2020";"Gendt";;;;;;;;;;
"Totaal";"2020";"Genemuiden";;;;;;;;;;
"Totaal";"2020";"Gennep";7231;2296;4935;975;3481;444;2674;913;1003;345
"Totaal";"2020";"Giessenlanden";;;;;;;;;;
